Date,Open,High,Low,Close,Volume
2025-03-17,339.6,344.23,337.62,342.25,1760280
2025-03-18,339.22,341.5,334.89,335.53,1645302
2025-03-19,334.62,336.925,330.15,334.92,2112275
2025-03-20,332.73,341.98,332.73,336.03,2158576
2025-03-21,332.93,336.27,327.86,334.41,3478360
2025-03-24,339.72,343.35,336.11,342.71,1847982
2025-03-25,341.86,343.72,338.99,341.16,1180517
2025-03-26,342.0,345.775,340.05,344.42,1502167
2025-03-27,346.0,347.3425,342.89,345.65,2058127
2025-03-28,347.23,348.11,339.11,339.75,1305150
2025-03-31,339.1,351.145,338.57,349.19,1964586
2025-04-01,349.23,351.84,345.56,350.57,1257974
2025-04-02,347.82,353.94,346.06,353.66,1583058
2025-04-03,345.12,347.215,339.19,340.65,2143915
2025-04-04,339.62,348.75,330.98,332.06,4338841
2025-04-07,324.84,336.69,316.7556,322.81,3240416
2025-04-08,327.46,331.99,308.84,313.51,3115435
2025-04-09,312.23,339.11,309.72,336.25,3253132
2025-04-10,332.95,334.4,318.33,329.91,2470870
2025-04-11,320.42,337.76,320.42,336.77,2032654
2025-04-14,339.02,342.73,336.0,341.02,1632350
2025-04-15,339.3,341.92,336.32,336.88,1247909
2025-04-16,334.56,337.69,329.2925,331.28,1385956
2025-04-17,338.14,338.14,330.61,333.38,2238662
2025-04-21,331.87,331.87,319.41,322.3,1511160
2025-04-22,326.19,332.65,325.17,331.96,1331551
2025-04-23,337.44,340.34,330.19,331.25,1338585
2025-04-24,332.3,335.34,328.8,334.44,1081356
2025-04-25,334.16,334.49,328.69,331.62,1552936
2025-04-28,332.61,335.6199,328.88,332.2,1800142
2025-04-29,345.3,352.5,339.42,348.13,2461912
2025-04-30,346.49,354.76,346.01,352.92,2307197
2025-05-01,353.39,357.0,351.71,353.64,1447142
2025-05-02,357.15,361.45,357.15,359.64,1398620
2025-05-05,358.74,365.57,358.18,359.82,1583708
2025-05-06,356.38,358.62,352.29,352.52,1159010
2025-05-07,352.52,353.99,349.96,351.58,1026075
2025-05-08,353.21,357.1,350.81,353.57,1259381
2025-05-09,352.48,353.78,350.215,351.86,1470696
2025-05-12,359.0,363.4348,356.06,357.15,1391017
2025-05-13,358.3,358.775,355.33,356.04,1390464
2025-05-14,356.57,356.57,350.81,351.37,1159745
2025-05-15,352.69,362.17,352.27,361.45,1650622
2025-05-16,360.52,363.55,359.09,363.51,892932
2025-05-19,359.2,362.31,358.0601,362.0,1662457
2025-05-20,362.93,362.93,357.53,359.1,1949578
2025-05-21,355.89,357.87,352.2,353.94,1449844
2025-05-22,353.09,355.11,351.39,352.94,1349564
2025-05-23,350.8,353.58,348.085,352.51,1018257
2025-05-27,357.42,360.08,354.14,359.32,1260231
2025-05-28,358.8,359.205,354.63,354.73,792587
2025-05-29,356.62,357.595,352.9,355.75,726443
2025-05-30,354.91,359.12,352.4601,358.81,2509219
2025-06-02,355.8,355.8,351.185,355.44,1990588
2025-06-03,356.99,357.935,351.64,357.76,1792777
2025-06-04,358.74,363.9,355.87,362.22,1557014
2025-06-05,363.38,363.38,356.16,357.88,1438758
2025-06-06,361.13,363.36,357.24,357.48,1495286
2025-06-09,358.03,359.79,354.9,357.95,849225
2025-06-10,360.42,360.98,356.77,360.73,769414
2025-06-11,361.47,362.67,356.5,357.13,1115259
2025-06-12,357.66,357.66,354.29,356.2,888460
2025-06-13,350.29,350.29,335.12,335.88,2797956
2025-06-16,337.49,340.24,334.3,335.76,1706373
2025-06-17,333.93,335.155,329.1401,331.03,1593467
2025-06-18,331.64,333.9522,329.9,331.47,1451757
2025-06-20,334.0,337.18,330.22,333.5,2707376
