Date,Open,High,Low,Close,Volume
2023-08-29,164.87,165.68,162.77,164.31,12208610
2023-08-30,165.11,165.83,163.68,163.73,9939097
2023-08-31,163.37,163.57,161.279,161.68,15333000
2023-09-01,161.42,162.48,160.015,160.48,8610052
2023-09-05,160.56,161.97,160.28,160.68,9019777
2023-09-06,159.84,160.0,157.35,158.01,9753833
2023-09-07,159.14,161.06,158.98,160.03,9931811
2023-09-08,159.59,160.68,159.19,160.56,6958201
2023-09-11,161.06,162.69,160.45,162.66,6309295
2023-09-12,162.22,163.925,161.53,163.58,6045756
2023-09-13,163.76,164.95,163.0,163.99,7397520
2023-09-14,164.68,165.27,163.44,163.74,7758552
2023-09-15,163.98,164.82,161.21,161.45,13392070
2023-09-18,162.12,163.145,160.75,162.47,5789146
2023-09-19,162.25,162.85,161.38,162.2,5550851
2023-09-20,162.19,163.5354,161.66,162.91,3837595
2023-09-21,162.57,163.5,161.59,161.66,4526772
2023-09-22,161.3,161.4,160.25,160.5,4977354
2023-09-25,160.07,160.36,158.73,160.26,6722584
2023-09-26,159.81,160.08,158.86,159.02,4904860
2023-09-27,158.58,158.76,155.255,157.11,10210690
2023-09-28,157.5,157.96,156.22,156.88,7861879
2023-09-29,157.37,157.6,155.35,155.75,7680711
2023-10-02,155.42,155.42,153.32,155.15,7259935
2023-10-03,154.68,155.495,153.89,155.34,5741035
2023-10-04,155.57,155.93,154.57,155.52,4955308
2023-10-05,156.27,158.0399,156.07,157.14,5993541
2023-10-06,157.08,158.3,156.59,157.64,5802226
2023-10-09,157.18,158.88,157.09,158.54,4414322
2023-10-10,158.38,159.27,157.9,158.36,5273531
2023-10-11,158.46,159.05,156.04,156.18,6922907
2023-10-12,155.92,156.5599,155.0663,156.33,5792419
2023-10-13,156.73,157.36,156.05,156.85,5360347
2023-10-16,157.82,158.25,156.84,157.53,6408142
2023-10-17,155.98,158.9499,154.6085,156.09,12244370
2023-10-18,155.41,155.95,152.05,152.73,9097348
2023-10-19,151.67,153.1093,150.15,152.32,7733790
2023-10-20,152.74,153.87,152.33,153.0,7206976
2023-10-23,152.86,153.5,151.21,151.39,5873981
2023-10-24,150.75,151.96,150.13,151.23,6155269
2023-10-25,151.24,152.17,150.23,151.57,5880816
2023-10-26,151.97,151.97,148.88,149.0,7612507
2023-10-27,148.49,148.66,144.95,145.6,11385750
2023-10-30,146.09,147.24,146.0,147.03,8205509
2023-10-31,147.54,148.545,146.6416,148.34,7577017
2023-11-01,149.19,149.76,148.46,148.69,5732973
2023-11-02,147.71,150.4,147.54,150.24,5349097
2023-11-03,151.21,152.27,150.145,151.34,4926765
2023-11-06,151.78,152.425,151.37,151.7,4851421
2023-11-07,151.93,152.25,150.68,150.9,4840590
2023-11-08,151.35,151.83,150.34,150.35,5460167
2023-11-09,150.5,150.5,147.26,147.42,6973598
2023-11-10,148.25,148.5,145.64,147.25,6931611
2023-11-13,147.25,147.9,146.65,147.63,5889367
2023-11-14,147.64,148.54,146.97,147.66,6713647
2023-11-15,147.35,149.42,147.27,148.8,6729120
2023-11-16,149.5,150.17,148.64,150.1,6875566
2023-11-17,150.55,150.785,149.065,149.79,7025544
2023-11-20,147.91,150.4,147.54,149.91,8860472
2023-11-21,150.1,151.29,149.61,151.12,5916344
2023-11-22,151.63,152.04,150.39,150.82,4635503
2023-11-24,150.86,152.6794,150.86,152.5,3351448
2023-11-27,152.29,152.32,150.97,151.28,6449740
2023-11-28,151.4,151.81,150.84,151.63,5909044
2023-11-29,151.33,152.2,151.07,152.11,5190026
2023-11-30,152.26,155.14,151.92,154.66,12481870
2023-12-01,156.44,158.46,155.47,158.38,10342900
2023-12-04,158.0,160.02,158.0,158.88,8920279
2023-12-05,158.8,159.63,158.22,158.55,7268151
2023-12-06,158.52,158.6592,156.17,156.62,6642891
2023-12-07,156.58,156.58,154.71,155.4,6532388
2023-12-08,155.42,155.85,153.84,154.42,6254673
2023-12-11,154.5,155.48,154.35,155.06,6090360
2023-12-12,155.0,155.32,153.65,155.07,5324406
2023-12-13,153.66,155.94,151.77,155.79,10764580
2023-12-14,156.47,157.16,155.0474,156.87,9240800
2023-12-15,155.49,156.69,153.76,155.16,21727750
2023-12-18,155.21,156.44,154.76,155.44,7231383
2023-12-19,155.3,156.5,154.94,156.46,6651744
2023-12-20,156.54,156.66,153.11,153.27,7008313
2023-12-21,153.69,155.13,153.3,154.84,4598843
2023-12-22,155.25,156.53,155.02,155.46,3798865
2023-12-26,155.0,156.35,154.85,156.14,4170190
2023-12-27,155.5,156.52,155.42,156.35,5288101
2023-12-28,156.0,157.24,155.99,156.58,4377535
2023-12-29,156.51,156.9,155.98,156.74,4313691
2024-01-02,156.93,161.6393,156.79,159.97,9622108
2024-01-03,160.64,161.44,159.8,160.97,8231987
2024-01-04,161.59,161.98,160.42,160.63,6766641
2024-01-05,160.5,161.34,159.47,161.13,5602564
2024-01-08,161.1,161.66,159.61,161.53,6569810
2024-01-09,161.63,163.28,160.595,161.63,6357014
2024-01-10,161.825,162.62,161.2,161.87,4945088
2024-01-11,162.07,162.199,160.78,161.15,4946015
2024-01-12,161.84,162.47,161.69,162.39,4496942
2024-01-16,161.57,162.25,160.18,160.52,6923174
2024-01-17,160.25,161.3,159.87,160.43,5072104
2024-01-18,160.0,161.37,159.69,161.21,5368502
2024-01-19,161.15,161.9226,160.28,161.68,7071320
2024-01-22,162.0,163.58,161.34,162.47,6824156
2024-01-23,159.66,160.5075,156.91,159.81,9149777
2024-01-24,159.75,160.6,158.16,158.96,7247926
2024-01-25,159.0,159.62,158.47,159.56,5478898
2024-01-26,160.43,160.74,159.3601,159.5,5591930
2024-01-29,159.01,160.0699,158.96,159.36,6483190
2024-01-30,159.35,159.76,158.13,158.77,7200538
2024-01-31,160.4,160.62,158.67,158.9,8257029
2024-02-01,158.16,158.49,157.05,158.36,8012122
2024-02-02,157.97,158.31,155.94,156.61,8295916
2024-02-05,156.61,156.89,155.34,155.8,9121808
2024-02-06,155.83,158.73,155.6,158.06,9230611
2024-02-07,157.8,159.37,157.69,157.98,8690294
2024-02-08,157.34,157.34,155.31,156.4,9754960
2024-02-09,156.27,157.2,155.67,156.76,6529202
2024-02-12,156.58,158.41,156.35,157.85,6701508
2024-02-13,157.64,158.45,155.75,156.47,8621022
2024-02-14,156.35,156.46,154.84,155.74,9098805
2024-02-15,155.98,158.475,155.89,157.92,7462529
2024-02-16,156.6,157.255,155.67,156.55,8540961
2024-02-20,156.56,158.61,156.44,157.86,9501742
2024-02-21,158.02,158.69,157.1312,158.68,7473300
2024-02-22,158.98,160.74,157.77,160.45,8065010
2024-02-23,160.88,162.25,160.16,161.84,6725963
2024-02-26,161.8,162.01,160.57,160.79,5465417
2024-02-27,160.34,161.04,159.64,160.98,5078650
2024-02-28,161.0,161.61,160.29,161.55,6071076
2024-02-29,162.0,162.19,160.94,161.38,9849270
2024-03-01,161.83,162.57,161.09,162.12,5670135
2024-03-04,161.32,161.61,158.27,159.84,8533083
2024-03-05,160.62,161.24,159.2,159.97,8298182
2024-03-06,159.46,160.93,159.22,159.34,5773683
2024-03-07,160.0,160.36,158.24,158.87,5188726
2024-03-08,158.87,160.39,158.425,159.52,5283951
2024-03-11,159.49,161.32,158.88,161.23,4620826
2024-03-12,161.58,163.11,161.13,162.74,8018736
2024-03-13,162.53,162.68,159.81,161.1,6260000
2024-03-14,160.94,161.54,158.69,159.21,6988264
2024-03-15,158.06,159.19,157.1,158.18,13165500
2024-03-18,158.57,158.69,156.5,156.76,6602255
2024-03-19,156.67,156.86,155.66,156.21,7840624
2024-03-20,155.7,156.44,155.21,155.76,5982304
2024-03-21,155.59,156.95,155.1,155.75,5915777
2024-03-22,155.69,156.36,155.11,155.23,7248622
2024-03-25,155.4,155.9836,154.9,155.22,7498100
2024-03-26,155.61,156.23,154.76,155.77,6864099
2024-03-27,155.99,158.22,155.44,157.96,8461600
2024-03-28,158.2,159.14,158.11,158.19,6181503
2024-04-01,157.72,158.15,156.77,157.78,4364699
2024-04-02,156.57,157.83,155.95,157.73,6102497
2024-04-03,157.79,158.05,154.25,154.26,8098242
2024-04-04,155.31,155.5,152.41,152.5,6947423
2024-04-05,152.03,153.01,151.61,152.39,6783020
2024-04-08,151.99,153.035,151.56,151.59,5935415
2024-04-09,151.55,152.5301,150.94,152.29,6135556
2024-04-10,151.53,151.82,149.76,150.2,6809519
2024-04-11,150.8,150.87,148.39,148.79,8374434
2024-04-12,148.06,149.065,147.15,147.52,7100178
2024-04-15,148.37,149.49,147.37,147.59,8502266
2024-04-16,145.01,146.25,143.39,144.45,12774860
2024-04-17,145.0,145.41,143.54,144.77,9378059
2024-04-18,144.98,145.8,143.13,145.74,9887704
2024-04-19,146.15,148.13,144.54,147.91,9750751
2024-04-22,148.51,150.27,147.3,149.12,10118690
2024-04-23,149.86,150.49,148.2,149.56,10110440
2024-04-24,148.14,148.99,146.86,148.53,9756259
2024-04-25,149.37,149.58,146.33,146.82,7642732
2024-04-26,146.7,147.175,145.95,146.14,6182982
2024-04-29,146.14,147.22,145.985,146.82,6461588
2024-04-30,146.88,146.88,144.53,144.59,8817719
2024-05-01,148.735,151.85,147.62,151.18,14473710
2024-05-02,152.04,152.33,149.14,149.92,8459796
2024-05-03,149.89,149.89,147.82,149.27,6532718
2024-05-06,149.87,150.05,147.91,148.58,5042757
2024-05-07,149.38,149.73,148.45,148.72,7333730
2024-05-08,149.12,149.73,148.7,148.95,7735148
2024-05-09,148.98,150.1,148.89,149.85,6546153
2024-05-10,150.0,150.09,149.19,149.91,5710566
2024-05-13,150.04,152.0,149.705,151.22,5628467
2024-05-14,151.85,152.21,150.7,151.38,8254171
2024-05-15,151.82,152.95,151.3,152.67,5547955
2024-05-16,153.0,154.38,152.33,154.28,7590959
2024-05-17,154.86,154.86,153.7129,154.64,6521794
2024-05-20,153.1,153.39,151.26,151.27,7742280
2024-05-21,151.78,152.585,150.785,151.24,5492354
2024-05-22,150.84,154.08,150.32,153.5,6609788
2024-05-23,152.75,152.84,149.375,149.7,8000422
2024-05-24,149.53,149.8139,146.76,146.97,9520576
2024-05-28,146.79,146.79,144.1502,144.38,10499830
2024-05-29,143.82,145.415,143.71,144.44,8263810
2024-05-30,144.62,145.61,144.02,145.28,8491111
2024-05-31,145.57,147.48,145.19,146.67,14621200
2024-06-03,147.25,148.9,146.77,147.74,7329241
2024-06-04,147.48,148.31,146.19,147.8,8876441
2024-06-05,147.97,147.99,145.855,145.97,5891299
2024-06-06,145.5,147.0,144.66,146.42,5016301
2024-06-07,146.68,148.3,146.34,147.08,5111626
2024-06-10,146.53,147.56,145.6,147.13,5751309
2024-06-11,146.81,147.16,145.44,146.76,5661236
2024-06-12,147.06,147.21,144.78,145.41,6180493
2024-06-13,145.07,146.0,143.88,145.45,6840374
2024-06-14,145.14,145.97,144.48,145.54,4075342
2024-06-17,145.02,146.43,144.74,145.95,6666583
2024-06-18,145.96,146.39,145.265,145.65,6156572
2024-06-20,145.27,148.08,145.01,147.78,8749717
2024-06-21,147.89,149.08,147.37,148.75,15176870
2024-06-24,149.0,149.7199,148.17,149.12,6914671
2024-06-25,149.18,149.2,146.94,147.19,6620303
2024-06-26,146.2,147.19,145.78,146.82,5267809
2024-06-27,146.8,147.36,144.84,145.8,5739246
2024-06-28,146.04,147.07,145.65,146.16,10495740
2024-07-01,146.07,148.7,145.6201,146.44,5144443
2024-07-02,146.43,147.15,145.74,146.03,5491962
2024-07-03,146.2,146.65,144.74,145.69,3246157
2024-07-05,145.77,146.55,144.5,146.48,4888535
2024-07-08,146.4,147.22,145.25,145.48,5260229
2024-07-09,145.67,147.13,145.18,147.05,5892187
2024-07-10,147.26,149.47,146.68,149.43,6093187
2024-07-11,149.58,150.58,148.64,149.7,6352109
2024-07-12,150.0,150.88,149.24,149.88,5336394
2024-07-15,150.08,150.25,148.87,149.24,6711354
2024-07-16,149.69,151.08,149.16,151.01,6469582
2024-07-17,151.55,157.49,151.415,156.58,13801430
2024-07-18,155.6,157.07,154.62,155.42,10166250
2024-07-19,156.51,156.51,154.12,154.69,7398036
2024-07-22,154.77,155.11,153.59,154.24,6840609
2024-07-23,153.31,153.5,151.57,152.35,6261870
2024-07-24,152.76,156.41,152.33,156.28,7168217
2024-07-25,156.48,160.58,156.0,159.64,10019580
2024-07-26,159.75,161.58,159.4724,160.64,8356878
2024-07-29,159.97,160.0,158.05,158.56,5625204
2024-07-30,158.54,161.55,158.36,161.33,6545677
2024-07-31,159.85,160.35,157.74,157.85,8293239
2024-08-01,158.48,160.81,157.71,160.76,7213419
2024-08-02,161.9,164.85,161.0,164.14,11280360
2024-08-05,163.795,165.78,160.58,161.25,12032210
2024-08-06,161.05,161.48,158.94,158.97,7607144
2024-08-07,158.87,160.615,158.19,158.9,5993028
2024-08-08,158.57,160.7,158.03,160.22,5094830
2024-08-09,160.12,160.93,159.34,160.62,4579186
2024-08-12,160.97,161.7,158.71,159.88,7605419
2024-08-13,160.27,160.37,156.44,158.39,9711395
2024-08-14,157.83,159.55,157.4,158.48,5141249
2024-08-15,158.37,159.495,157.84,159.09,7237785
2024-08-16,159.14,159.94,158.18,159.39,5012774
2024-08-19,159.46,160.295,159.13,159.63,4408517
2024-08-20,160.0,160.93,159.67,160.16,7275133
2024-08-21,160.4,161.48,160.31,161.43,5019375
2024-08-22,162.0,162.49,160.79,162.35,6552142
2024-08-23,162.5,164.22,161.695,164.13,7093429
2024-08-26,164.17,165.71,163.54,164.61,6870622
2024-08-27,163.5,164.035,162.16,162.95,4388728
2024-08-28,163.0,165.0,162.71,163.92,5187198
2024-08-29,164.63,164.72,163.36,164.23,7390125
2024-08-30,164.12,165.98,163.81,165.86,7971017
2024-09-03,165.24,167.81,164.77,167.16,6956452
2024-09-04,167.81,168.85,166.04,167.36,6939132
2024-09-05,167.2,167.37,164.83,164.99,4600392
2024-09-06,165.18,165.9399,164.12,164.38,6016884
2024-09-09,164.84,167.405,164.47,166.61,7538233
2024-09-10,167.5,168.46,166.745,167.38,6559734
2024-09-11,166.79,166.79,164.09,164.82,5920165
2024-09-12,164.2,165.1,162.7101,164.64,4541046
2024-09-13,164.74,165.75,163.82,165.52,3693548
2024-09-16,166.36,167.25,165.78,166.99,5187887
2024-09-17,166.24,167.72,165.93,167.07,5066586
2024-09-18,166.63,168.35,165.74,166.15,4722765
2024-09-19,166.23,166.37,164.42,164.82,4956119
2024-09-20,164.3,164.87,163.55,164.16,11838970
2024-09-23,164.4,164.5,162.72,163.22,4671645
2024-09-24,162.79,163.49,161.55,162.78,6041561
2024-09-25,163.0,163.315,160.36,160.6,5420011
2024-09-26,160.24,161.54,160.02,161.39,6122231
2024-09-27,162.0,163.43,161.34,161.4,7553905
2024-09-30,161.57,162.18,160.68,162.06,6010407
2024-10-01,162.43,162.75,161.18,161.99,4408019
2024-10-02,161.51,162.12,160.65,161.17,4684472
2024-10-03,160.78,161.44,160.22,160.5,4791223
2024-10-04,159.63,160.5,158.775,160.29,5331694
2024-10-07,160.25,160.86,159.22,159.53,4265971
2024-10-08,159.49,160.245,158.95,159.69,4766250
2024-10-09,159.92,161.215,159.51,160.65,6047269
2024-10-10,161.36,161.39,159.995,160.51,4793889
2024-10-11,162.18,162.66,161.2,161.46,5253459
2024-10-14,161.4,162.14,160.9,161.6,5963961
2024-10-15,160.0,166.75,159.0,164.1,10547970
2024-10-16,164.0,164.99,162.64,164.28,5982291
2024-10-17,164.26,165.0,163.63,164.47,4798238
2024-10-18,164.89,165.2896,163.93,165.12,5908012
2024-10-21,165.1,165.25,162.31,162.83,6082736
2024-10-22,162.32,163.73,161.9,163.45,5680612
2024-10-23,162.82,166.0,162.42,165.86,7442026
2024-10-24,165.0,165.51,163.34,163.67,5386525
2024-10-25,163.68,163.92,160.61,160.88,6400449
2024-10-28,161.13,161.97,161.0,161.6,4842653
2024-10-29,161.46,162.17,160.06,160.09,5216879
2024-10-30,159.45,161.28,159.0302,160.61,5820530
2024-10-31,159.99,160.87,159.46,159.86,8613860
2024-11-01,160.58,161.06,159.88,160.13,5256652
2024-11-04,159.7,160.28,158.07,158.24,4644011
2024-11-05,157.67,158.59,156.35,158.35,6547074
2024-11-06,159.9,160.85,157.355,157.88,8926601
2024-11-07,158.47,158.75,156.51,156.73,7522812
2024-11-08,157.0,157.08,155.41,155.47,8926134
2024-11-11,155.62,157.58,154.91,155.04,7146759
2024-11-12,154.53,155.04,152.37,152.64,7181408
2024-11-13,152.5,153.51,151.4245,153.24,7162233
2024-11-14,153.18,153.5918,150.76,151.87,7716385
2024-11-15,150.9,154.43,150.9,154.0,11328520
2024-11-18,152.59,155.33,152.33,154.77,7514177
2024-11-19,153.945,153.99,152.05,153.0,8233678
2024-11-20,153.03,153.25,151.81,153.11,9061274
2024-11-21,153.62,156.06,152.81,155.5,10141060
2024-11-22,155.9,157.115,154.11,155.17,8265961
2024-11-25,155.17,157.035,155.14,155.78,12256240
2024-11-26,155.16,155.25,153.16,154.52,5683499
2024-11-27,154.63,156.63,154.6,155.4,4140444
2024-11-29,154.89,155.67,154.169,155.01,5687821
2024-12-02,154.75,155.0,153.9258,154.8,6946494
2024-12-03,154.8,154.8,152.305,152.36,8674415
2024-12-04,151.29,151.56,149.75,150.47,10333110
2024-12-05,150.0,150.38,148.95,149.52,7898098
2024-12-06,149.39,150.05,148.38,149.31,8389611
2024-12-09,149.29,150.89,148.44,149.6,8410303
2024-12-10,149.93,150.83,148.33,149.23,9398671
2024-12-11,148.5,148.5,146.37,146.64,13446660
2024-12-12,147.2,147.77,146.01,146.24,6176269
2024-12-13,145.66,146.93,145.04,146.62,8324900
2024-12-16,146.73,147.25,143.52,143.85,8732378
2024-12-17,143.84,146.66,143.71,146.41,10342960
2024-12-18,145.678,146.74,144.67,144.75,9336094
2024-12-19,144.14,145.22,143.37,143.58,9516653
2024-12-20,143.05,145.47,142.75,144.47,17702760
2024-12-23,144.63,145.33,143.45,145.27,8720824
2024-12-24,145.0,145.85,144.3325,145.85,3164071
2024-12-26,145.51,146.37,145.09,145.58,4656981
2024-12-27,144.87,146.6,144.68,145.05,5588306
2024-12-30,144.84,144.88,142.95,143.34,6268692
2024-12-31,143.76,144.67,143.3098,144.62,5811401
2025-01-02,145.23,145.77,143.78,144.02,6051330
2025-01-03,144.07,144.575,143.62,144.19,5879816
2025-01-06,143.51,144.815,142.93,143.66,7910493
2025-01-07,143.755,147.18,143.59,146.23,8422010
2025-01-08,145.49,145.59,141.44,142.27,11175550
2025-01-10,141.0,143.67,140.68,142.06,8821541
2025-01-13,142.98,145.07,142.31,144.47,10376380
2025-01-14,144.5,144.81,142.86,144.75,8681741
2025-01-15,145.31,146.05,144.26,144.97,7434562
2025-01-16,144.32,148.07,144.06,147.77,8964016
2025-01-17,147.44,148.38,146.61,147.03,10773050
2025-01-21,147.56,148.86,147.05,148.15,11111750
2025-01-22,144.0,145.47,142.11,145.27,16834750
2025-01-23,145.44,147.91,144.8144,146.64,10506360
2025-01-24,146.805,147.631,146.383,146.82,9887682
2025-01-27,148.45,153.45,148.0,152.89,15152310
2025-01-28,152.66,152.97,150.3,150.38,10320610
2025-01-29,150.5,151.88,150.0,151.15,7156421
2025-01-30,151.91,154.14,151.36,152.87,8910983
2025-01-31,152.62,153.18,152.055,152.15,8458715
2025-02-03,152.0,152.465,150.78,151.87,6687487
2025-02-04,151.36,154.18,150.945,153.49,9645289
2025-02-05,153.82,154.73,153.31,154.69,8946957
2025-02-06,154.79,154.8402,153.38,153.51,7418468
2025-02-07,153.53,154.49,152.8,153.12,6204916
2025-02-10,153.61,154.37,152.29,154.24,6936561
2025-02-11,154.11,156.39,153.94,156.13,7554811
2025-02-12,155.27,155.6599,154.27,155.26,7746014
2025-02-13,155.26,158.13,154.79,157.25,10705080
2025-02-14,157.29,157.47,156.06,156.15,6411840
2025-02-18,154.14,155.45,153.24,154.99,9670657
2025-02-19,155.0,158.3,154.75,157.89,7974736
2025-02-20,156.95,159.95,156.95,159.68,7224030
2025-02-21,159.88,163.51,159.28,162.3,12546930
2025-02-24,162.68,164.87,162.05,163.74,10201920
2025-02-25,164.1,166.43,163.94,166.09,12303700
2025-02-26,165.08,165.13,162.555,163.08,11396410
2025-02-27,162.31,163.95,161.73,163.73,8364573
2025-02-28,164.31,165.94,162.7,165.02,12037420
2025-03-03,164.96,167.33,164.84,167.28,9191464
2025-03-04,168.08,169.99,165.32,165.42,11999960
2025-03-05,164.51,166.4618,163.53,165.12,8745050
2025-03-06,165.0,165.87,163.51,165.83,8037888
2025-03-07,165.13,168.46,164.7,166.69,9637593
2025-03-10,167.48,169.9,167.05,167.7,17558980
2025-03-11,167.2,167.3,165.05,165.86,9890648
2025-03-12,163.73,164.21,162.23,162.85,8010692
2025-03-13,163.43,164.54,162.6601,162.99,5286734
2025-03-14,162.12,163.15,161.1,162.81,6235797
2025-03-17,162.41,163.5,161.73,162.84,6669815
2025-03-18,163.44,164.86,162.965,164.25,7348974
2025-03-19,163.97,164.36,162.21,162.99,5936637
2025-03-20,163.0,163.2,161.925,163.02,7485930
2025-03-21,163.0,164.13,162.48,163.63,17047110
2025-03-24,162.84,164.39,162.5,163.29,8046565
2025-03-25,163.52,164.19,160.555,161.02,7456197
2025-03-26,161.21,162.49,160.64,161.72,7223773
2025-03-27,162.35,164.065,161.32,163.13,6752466
2025-03-28,163.59,164.52,162.91,163.71,5760545
2025-03-31,164.37,166.63,164.23,165.84,12481400
2025-04-01,160.73,161.81,153.13,153.25,23303070
2025-04-02,154.015,155.79,153.4501,155.36,10356920
2025-04-03,158.75,160.645,157.48,159.82,13249310
2025-04-04,159.155,159.82,152.93,153.24,16601730
2025-04-07,151.28,152.71,147.4,150.62,18083040
2025-04-08,153.59,153.59,148.0,150.0,12018390
2025-04-09,142.2,153.19,141.5,150.97,18773740
2025-04-10,150.37,151.2,145.13,148.69,13830470
2025-04-11,149.33,152.35,148.19,151.73,9943851
2025-04-14,151.585,154.67,151.1658,154.36,10685340
2025-04-15,155.7,156.3,152.1,153.62,10847650
2025-04-16,155.37,155.63,152.24,153.91,7987296
2025-04-17,154.16,159.44,154.16,157.47,10981070
2025-04-21,157.96,158.23,155.49,156.92,6285438
2025-04-22,157.55,158.72,156.2601,157.75,7136321
2025-04-23,156.49,157.1,154.33,155.38,9099438
2025-04-24,155.8,155.895,153.44,154.93,8310425
2025-04-25,154.32,154.9,152.45,154.58,8643927
2025-04-28,155.5,155.81,153.82,155.35,5815179
2025-04-29,155.45,157.02,154.29,155.91,5246725
2025-04-30,158.2,158.2,155.021,156.31,9598156
2025-05-01,155.0,155.085,153.36,154.46,7325849
2025-05-02,156.07,156.715,155.04,156.12,5974539
2025-05-05,156.67,156.795,154.725,155.0,5464496
2025-05-06,154.82,155.9,153.685,154.47,8644189
2025-05-07,154.74,157.9423,154.5,157.3,7854106
2025-05-08,155.82,157.03,154.78,155.66,7606095
2025-05-09,155.42,156.06,153.81,154.22,6520449
2025-05-12,152.02,155.36,151.18,154.14,9023782
2025-05-13,151.7,151.7,148.08,148.44,10549610
2025-05-14,148.665,148.82,146.115,146.36,10215950
2025-05-15,148.0,149.65,147.33,149.61,7945768
2025-05-16,149.67,151.5,149.22,151.33,8051150
2025-05-19,151.89,152.66,151.05,152.49,12639950
2025-05-20,152.33,154.0399,152.12,153.66,7351451
2025-05-21,153.19,154.43,153.0,153.18,7032225
2025-05-22,152.645,153.32,151.37,152.61,7535335
2025-05-23,153.0,153.48,152.21,152.94,6727539
2025-05-27,152.52,154.045,151.93,153.25,6990694
2025-05-28,153.28,153.64,151.93,152.43,8459310
2025-05-29,151.75,154.04,151.56,153.58,6810982
2025-05-30,153.9,155.71,153.22,155.21,15529720
2025-06-02,154.48,155.54,152.3,155.4,6669669
2025-06-03,154.8,155.66,154.08,154.42,8209757
2025-06-04,154.93,154.93,153.13,153.22,6983861
2025-06-05,153.68,154.09,152.64,153.66,5296258
2025-06-06,154.0,156.03,154.0,155.03,5391841
2025-06-09,154.85,155.99,154.45,155.23,5319232
2025-06-10,155.43,157.44,155.02,156.45,6791881
2025-06-11,156.3,156.6,154.73,155.26,6016039
2025-06-12,156.24,156.675,155.17,156.66,7075511
2025-06-13,155.97,157.67,155.97,157.1,6587849
2025-06-16,156.42,156.495,154.45,155.22,7023995
2025-06-17,154.965,155.28,152.105,152.38,6407098
2025-06-18,152.57,152.645,150.71,150.73,8325237
2025-06-20,151.26,151.395,149.04,149.79,22605470
